ts,adc_raw,temp,humidity,label

2025-11-23 19:12:40,185.0,0.0,0.0,2
2025-11-23 19:12:42,189.0,0.0,0.0,2
2025-11-23 19:12:44,222.0,0.0,0.0,2
2025-11-23 19:12:46,197.0,0.0,0.0,2
2025-11-23 19:12:48,185.0,0.0,0.0,2
2025-11-23 19:12:50,183.0,0.0,0.0,2
2025-11-23 19:12:52,757.0,0.0,0.0,2
2025-11-23 19:12:54,3792.0,0.0,0.0,3
2025-11-23 19:12:56,2473.0,0.0,0.0,3
2025-11-23 19:12:59,4095.0,0.0,0.0,3
2025-11-23 19:13:01,2719.0,0.0,0.0,3
2025-11-23 19:13:03,1842.0,0.0,0.0,3
2025-11-23 19:13:05,1281.0,0.0,0.0,3
2025-11-23 19:13:07,1010.0,0.0,0.0,3
2025-11-23 19:13:09,1023.0,0.0,0.0,3
2025-11-23 19:13:11,912.0,0.0,0.0,3
2025-11-23 19:13:13,733.0,0.0,0.0,2
2025-11-23 19:13:15,717.0,0.0,0.0,2
2025-11-23 19:13:17,583.0,0.0,0.0,2
2025-11-23 19:13:20,471.0,0.0,0.0,2
2025-11-23 19:13:22,421.0,0.0,0.0,2
2025-11-23 19:13:24,413.0,0.0,0.0,2
2025-11-23 19:13:26,394.0,0.0,0.0,2
2025-11-23 19:13:28,365.0,0.0,0.0,2
2025-11-23 19:13:30,352.0,0.0,0.0,2
2025-11-23 19:13:32,407.0,0.0,0.0,2
2025-11-23 19:13:34,387.0,0.0,0.0,2
2025-11-23 19:13:36,390.0,0.0,0.0,2
2025-11-23 19:13:38,356.0,0.0,0.0,2
2025-11-23 19:13:40,320.0,0.0,0.0,2
2025-11-23 19:13:43,304.0,0.0,0.0,2
2025-11-23 19:13:45,294.0,0.0,0.0,2
2025-11-23 19:13:47,302.0,0.0,0.0,2
2025-11-23 19:13:49,284.0,0.0,0.0,2
2025-11-23 19:13:51,276.0,0.0,0.0,2
2025-11-23 19:13:53,278.0,0.0,0.0,2
2025-11-23 19:13:55,272.0,0.0,0.0,2
2025-11-23 19:13:57,272.0,0.0,0.0,2
2025-11-23 19:13:59,262.0,0.0,0.0,2
2025-11-23 19:14:01,263.0,0.0,0.0,2
2025-11-23 19:14:03,256.0,0.0,0.0,2
2025-11-23 19:14:06,256.0,0.0,0.0,2
2025-11-23 19:14:08,243.0,0.0,0.0,2
2025-11-23 19:14:10,256.0,0.0,0.0,2
2025-11-23 19:14:12,3866.0,0.0,0.0,3
2025-11-23 19:14:14,2492.0,0.0,0.0,3
2025-11-23 19:14:16,2111.0,0.0,0.0,3
2025-11-23 19:14:18,1617.0,0.0,0.0,3
2025-11-23 19:14:20,1123.0,0.0,0.0,3
2025-11-23 19:14:22,863.0,0.0,0.0,3
2025-11-23 19:14:24,4095.0,0.0,0.0,3
2025-11-23 19:14:26,4095.0,0.0,0.0,3
2025-11-23 19:14:29,4095.0,0.0,0.0,3
2025-11-23 19:14:31,4095.0,0.0,0.0,3
2025-11-23 19:14:33,4095.0,0.0,0.0,3
2025-11-23 19:14:35,4095.0,0.0,0.0,3
2025-11-23 19:14:37,4095.0,0.0,0.0,3
2025-11-23 19:14:39,3055.0,0.0,0.0,3
2025-11-23 19:14:41,2145.0,0.0,0.0,3
2025-11-23 19:14:43,1635.0,0.0,0.0,3
2025-11-23 19:14:45,1294.0,0.0,0.0,3
2025-11-23 19:14:47,1094.0,0.0,0.0,3
2025-11-23 19:14:50,981.0,0.0,0.0,3
